日期,内容,来源
2011/5/17,中兴通讯：出售国民技术股份以筹集发展资金,Wind
2011/5/18,国民技术一路狂跌 二股东中兴通讯放言减持,证券时报网
2011/5/19,周四资金净流入净流出十大个股名单,Wind
2011/5/19,银河证券：中兴通讯有望兑现投资收益,Wind
2011/5/19,中兴助移动完成LTE外场测试,经济日报
2011/5/19,银河证券：维持中兴通讯“推荐”评级,证券时报网
2011/5/20,中兴希望云计算几年后占其1-3营收,中贸救济
2011/5/23,申银万国：重申中兴通讯“买入”评级,证券时报网
2011/5/23,申银万国：中兴通讯订单增长情况理想,Wind
2011/5/25,中兴通讯预计今年销售额增长超20%,Wind
2011/5/27,金元证券：云计算引领IT行业转型,Wind
2011/5/27,大笔减持国民技术 中兴通讯未做回应,资本证券
2011/5/30,中兴通讯：择机出售国民技术股份有限公司股份,Wind
2011/5/30,中兴通讯减持国民技术2.05%股份 获利近亿元,证券时报网
2011/5/30,平安证券：三网融合望破冰前行通信设备公司将受益,Wind
2011/5/30,中兴新打造矿井下“诺亚方舟”,高新报
2011/5/31,中兴通讯：出售国民技术股份20%股权,Wind
2011/5/31,中兴通讯大举减持国民技术 套现近亿元,证券时报网
2011/5/31,中兴通讯4天套现1.5亿 减持阴云或依旧,易观国际
2011/5/31,国民技术股价创新低 中兴4天套现1.5亿,中国经济网
2011/6/1,中兴通讯借云计算进军IT领域,
2011/6/1,国民技术遭中兴通讯减持,京华时报
2011/6/2,中兴通讯获得中国联通120万部智能手机订单,Wind
2011/6/2,中兴通讯与英国电信结成研发合作伙伴,
2011/6/3,中兴通讯交换机抢占全球运营商市场份额第二,赛迪网
2011/6/7,中兴通讯“走出去”投产巴西,中国经营网
2011/6/7,中兴反击华为诉其三项专利侵权,比特网
2011/6/7,中兴交换机抢占全球运营商市场份额第二,赛迪网
2011/6/7,中兴反击华为诉其三项专利侵权,资本证券
2011/6/7,中兴反击华为诉其三项专利侵权,京华时报
2011/6/8,中兴交换机全球抢份额 4季跃升至第二位,赛迪网
2011/6/8,华为中兴不和解：LTE千亿订单争夺战欧洲爆发,中国经济网
