preds,targets,dates,close
0.47162718,1.0,2019/10/22,32.16
0.48047417,1.0,2019/10/23,32.32
0.4564359,0.0,2019/10/24,32.2
0.45504233,1.0,2019/10/25,33.35
0.52001804,1.0,2019/10/28,33.64
0.53056085,1.0,2019/10/29,33.74
0.51930904,0.0,2019/10/30,33.23
0.51609266,1.0,2019/10/31,33.4
0.47222862,1.0,2019/11/1,34.0
0.46848673,1.0,2019/11/4,34.48
0.48446307,0.0,2019/11/5,34.24
0.4242719,0.0,2019/11/6,33.22
0.48574224,1.0,2019/11/7,33.33
0.47380555,0.0,2019/11/8,32.85
0.53938764,0.0,2019/11/11,32.37
0.51559687,1.0,2019/11/12,32.49
0.5428179,1.0,2019/11/13,32.56
0.47115132,1.0,2019/11/14,32.77
0.43989336,0.0,2019/11/15,31.34
0.45850205,1.0,2019/11/18,31.36
0.46556208,1.0,2019/11/19,31.89
0.437158,0.0,2019/11/20,31.36
0.55472505,0.0,2019/11/21,31.09
0.5181694,0.0,2019/11/22,30.7
0.4366824,0.0,2019/11/25,30.41
0.46089903,0.0,2019/11/26,30.4
0.48685154,1.0,2019/11/27,30.46
0.47418505,1.0,2019/11/28,30.65
0.5442092,1.0,2019/11/29,30.71
0.44969285,0.0,2019/12/2,30.57
0.4520982,1.0,2019/12/3,30.67
0.46074474,1.0,2019/12/4,31.18
0.53051066,1.0,2019/12/5,31.95
0.4669621,0.0,2019/12/6,31.91
0.49692866,0.0,2019/12/9,31.6
0.4939858,1.0,2019/12/10,32.08
0.44231093,0.0,2019/12/11,31.85
0.45281708,1.0,2019/12/12,32.85
0.48012203,1.0,2019/12/13,33.2
0.44311026,1.0,2019/12/16,33.55
0.4675743,1.0,2019/12/17,33.59
0.46085402,1.0,2019/12/18,34.25
0.42512226,1.0,2019/12/19,34.49
0.44258702,0.0,2019/12/20,33.37
0.46667996,0.0,2019/12/23,32.26
0.47878644,1.0,2019/12/24,33.12
0.54697984,1.0,2019/12/25,33.75
0.45715407,1.0,2019/12/26,33.9
0.54110587,0.0,2019/12/27,33.64
0.4467116,1.0,2019/12/30,34.35
